title,soup
John Q,fathersonrelationship chicago heartattack denzelwashington robertduvall anneheche nickcassavetes drama thriller crime
Blue Streak,robbery diamant policeoperation martinlawrence lukewilson davechappelle lesmayfield action comedy crime
We're the Millers,mexico police gang jasonsudeikis jenniferaniston willpoulter rawsonmarshallthurber comedy crime
The Inhabited Island,basedonnovel brothersisterrelationship swordfight vasilystepanov pyotrfyodorov юлияснигирь fyodorbondarchuk action fantasy sciencefiction
Breakdown,california bank ransom kurtrussell j.t.walsh kathleenquinlan jonathanmostow drama action thriller
Never Say Never Again,videogame spy bahamas seanconnery kimbasinger klausmariabrandauer irvinkershner adventure action thriller
Hot Tub Time Machine,femalenudity one-nightstand timetravel johncusack lizzycaplan robcorddry stevepink sciencefiction comedy adventure
Dolphin Tale 2,dolphin aquarium swimming morganfreeman ashleyjudd nathangamble charlesmartinsmith family drama
Reindeer Games,prison robbery rolereversal benaffleck garysinise charlizetheron johnfrankenheimer thriller
A Man Apart,repayment arbitrarylaw cop vindiesel larenztate timothyolyphant f.garygray action drama
Aloha,lovetriangle hawaii satellite bradleycooper emmastone rachelmcadams cameroncrowe drama comedy romance
Ghosts of Mississippi,assassin widow trial alecbaldwin jameswoods virginiamadsen robreiner history drama
Snow Falling on Cedars,journalist japanese wife ethanhawke youkikudoh reevecarney scotthicks drama romance
The Rite,vatican violinist hospital anthonyhopkins colino'donoghue alicebraga mikaelhåfström drama thriller horror
Gattaca,paraplegic suicideattempt cheating ethanhawke judelaw gorevidal andrewniccol thriller sciencefiction mystery
Isn't She Great,autism basedonarticle bettemidler nathanlane stockardchanning andrewbergman drama comedy
Space Chimps,spacemarine chimp space andysamberg cherylhines jeffdaniels kirkdemicco animation family
Head of State,usa blackpeople usapresident chrisrock berniemac dylanbaker chrisrock comedy
The Hangover,underwear tiger stagnight bradleycooper edhelms zachgalifianakis toddphillips comedy
Ip Man 3,biography donnieyen lynnhung zhangjin wilsonyip action drama history
Austin Powers: The Spy Who Shagged Me,savingtheworld moon submarine mikemyers heathergraham michaelyork jayroach adventure comedy crime
Batman,doublelife dccomics dualidentity jacknicholson michaelkeaton kimbasinger timburton fantasy action
There Be Dragons,spanishcivilwar priest independentfilm charliecox dougrayscott wesbentley rolandjoffé drama
Lethal Weapon 3,rookiecop dogbiscuit shootingpractice melgibson dannyglover joepesci richarddonner adventure action comedy
The Blind Side,americanfootball adoption education sandrabullock quintonaaron kathybates johnleehancock drama
Spy Kids,doublelife parentskidsrelationship brothersisterrelationship alexapenavega darylsabara antoniobanderas robertrodriguez action comedy family
Horrible Bosses,conspiracyofmurder badboss employee jenniferaniston jasonbateman charlieday sethgordon comedy crime
True Grit,lossoffather fathermurder texasranger jeffbridges mattdamon joshbrolin joelcoen drama adventure western
The Devil Wears Prada,paris journalist journalism merylstreep annehathaway emilyblunt davidfrankel comedy drama romance
Star Trek: The Motion Picture,artificialintelligence ussenterprise starfleet williamshatner leonardnimoy deforestkelley robertwise sciencefiction adventure mystery
Identity Thief, jasonbateman melissamccarthy jonfavreau sethgordon comedy crime
Cape Fear,prison childabuse rape robertdeniro nicknolte jessicalange martinscorsese crime thriller
21,gambling cardgame professor jimsturgess kevinspacey katebosworth robertluketic drama crime
Trainwreck,alcohol one-nightstand amyschumer billhader brielarson juddapatow comedy
Guess Who,blackpeople jealousy parents-in-law berniemac ashtonkutcher zoesaldana kevinrodneysullivan comedy romance
The English Patient,cairo egypt identity ralphfiennes juliettebinoche willemdafoe anthonyminghella drama romance war
L.A. Confidential,corruption detective shotgun kevinspacey guypearce dannydevito curtishanson crime drama mystery
Sky High,hero loyalty mockery michaelangarano kurtrussell kellypreston mikemitchell adventure comedy family
In & Out,gay homophobia comingout kevinkline joancusack tomselleck frankoz comedy romance
Species,telepathy dna paranoia natashahenstridge benkingsley michaelmadsen rogerdonaldson sciencefiction horror action
A Nightmare on Elm Street,childmurderer sleep nightmare johnsaxon roneeblakley heatherlangenkamp wescraven horror
The Cell,drowning therapist virtualreality jenniferlopez vincentd'onofrio vincevaughn tarsemsingh horror sciencefiction thriller
The Man in the Iron Mask,france swordplay mask leonardodicaprio jeremyirons gérarddepardieu randallwallace action adventure drama
Secretariat,horserace horsebackriding biography dianelane johnmalkovich scottglenn randallwallace drama
TMNT,newyork brotherbrotherrelationship journalist chrisevans sarahmichellegellar mako kevinmunroe adventure animation comedy
Radio,biography friendship sport cubagoodingjr. edharris alfrewoodard miketollin drama
Friends with Benefits,funeral friends hospital justintimberlake milakunis patriciaclarkson willgluck romance comedy
Neighbors 2: Sorority Rising,alcohol college party sethrogen rosebyrne zacefron nicholasstoller comedy
Saving Mr. Banks,biography animation writer emmathompson tomhanks paulgiamatti johnleehancock comedy drama history
Malcolm X,islam newyork prison denzelwashington angelabassett alberthall spikelee drama history
This Is 40,wifehusbandrelationship children familyrelationships paulrudd lesliemann jasonsegel juddapatow comedy
Old Dogs,japanese camp bestfriend robinwilliams johntravolta sethgreen waltbecker comedy family
Underworld: Rise of the Lycans,prison underworld slavery billnighy michaelsheen rhonamitra patricktatopoulos fantasy action adventure
License to Wed,newlove tencommandments bride robinwilliams mandymoore johnkrasinski kenkwapis comedy
The Benchwarmers,baseball pizza sport jonheder robschneider davidspade dennisdugan comedy
Must Love Dogs,sistersisterrelationship makeamatch single dianelane johncusack elizabethperkins garydavidgoldberg comedy romance
Donnie Brasco,undercover colombia mafia johnnydepp alpacino michaelmadsen mikenewell crime drama thriller
Resident Evil,undercover mutant dystopia millajovovich michellerodriguez ericmabius paulw.s.anderson horror action sciencefiction
Poltergeist,medium ghostbuster poltergeist craigt.nelson jobethwilliams beatricestraight tobehooper horror
The Ladykillers,churchchoir hidingplace garbage tomhanks irmap.hall marlonwayans joelcoen comedy crime thriller
Max Payne,assassin basedonvideogame aftercreditsstinger markwahlberg milakunis beaubridges johnmoore action
In Time,bank future time justintimberlake amandaseyfried cillianmurphy andrewniccol action thriller sciencefiction
The Back-Up Plan,kiss spermbank romanticcomedy jenniferlopez alexo'loughlin danneelackles alanpoul comedy romance
Something Borrowed,newyork alcohol basedonnovel katehudson ginnifergoodwin johnkrasinski lukegreenfield comedy drama romance
Black Knight,england blackpeople medallion martinlawrence marshathomason tomwilkinson giljunger adventure comedy fantasy
The Bad News Bears,baseball sport littleleague waltermatthau tatumo'neal benpiazza michaelritchie comedy family
Street Fighter,dictator martialarts hostage jean-claudevandamme raúljuliá ming-nawen stevene.desouza action adventure thriller
The Pianist,individual resistance radiostation adrienbrody thomaskretschmann frankfinlay romanpolanski drama war
The Nativity Story,jesuschrist bible threekings keishacastle-hughes oscarisaac hiamabbass catherinehardwicke drama history
House of Wax,americanfootball trafficjam remake elishacuthbert parishilton brianvanholt jaumecollet-serra horror
Closer,fathersonrelationship loveatfirstsight photographer juliaroberts judelaw natalieportman mikenichols drama romance
J. Edgar,biography historicalfigure fbidirector leonardodicaprio joshhamilton geoffpierson clinteastwood drama crime history
Mirrors,schizophrenia nightwatchman subway kiefersutherland paulapatton amysmart alexandreaja horror mystery thriller
Queen of the Damned,queen rockstar secretsociety stuarttownsend aaliyah margueritemoreau michaelrymer drama fantasy horror
Predator 2,predator warondrugs extraterrestrialtechnology kevinpeterhall dannyglover garybusey stephenhopkins sciencefiction action thriller
Untraceable,suicide fbi kidnapping dianelane billyburke colinhanks gregoryhoblit drama
Blast from the Past,isolation atomicbomb bunker brendanfraser aliciasilverstone christopherwalken hughwilson comedy romance
Flash Gordon,emperor solareclipse prince samj.jones melodyanderson maxvonsydow mikehodges sciencefiction
Jersey Girl,yuppie daughter lossofwife benaffleck raquelcastro livtyler kevinsmith comedy romance
Alex Cross,exmilitary tylerperry rachelnichols jeanreno robcohen action thriller crime
Midnight in the Garden of Good and Evil,dragqueen voodoo savannah johncusack kevinspacey judelaw clinteastwood crime drama mystery
Heist,casino robbery bushijacking jeffreydeanmorgan robertdeniro katebosworth scottmann crime action thriller
Nanny McPhee and the Big Bang,nanny fantasy children emmathompson asabutterfield ralphfiennes susannawhite comedy fantasy
Hoffa,policyandorganisations power tradeunion jacknicholson dannydevito armandassante dannydevito crime history
The X Files: I Want to Believe,extraterrestrialtechnology fbi alien davidduchovny gilliananderson amandapeet chriscarter drama mystery sciencefiction
Ella Enchanted,elves basedonnovel magic annehathaway hughdancy caryelwes tommyo'haver family fantasy comedy
Concussion,americanfootball concussion biography willsmith alecbaldwin albertbrooks peterlandesman drama
Abduction,cia airport hero taylorlautner lilycollins alfredmolina johnsingleton thriller action mystery
Valiant,animation animal 3d ewanmcgregor rickygervais timcurry garychapman animation family adventure
Wonder Boys,adultery robbery basedonnovel michaeldouglas tobeymaguire francesmcdormand curtishanson comedy drama
Superhero Movie,antihero highschool dragonfly drakebell sarapaxton leslienielsen craigmazin action comedy sciencefiction
Broken City,mayor investigation politics markwahlberg russellcrowe catherinezeta-jones allenhughes thriller crime drama
Cursed,brothersisterrelationship bite transformation portiaderossi christinaricci jesseeisenberg wescraven horror comedy
Premium Rush,newyork dirtycop bicyclecourier josephgordon-levitt michaelshannon daniaramirez davidkoepp crime action thriller
Hot Pursuit,texas prisoner cop reesewitherspoon sofíavergara michaelmosley annefletcher action comedy crime
The Four Feathers,islam sex loyalty heathledger wesbentley katehudson shekharkapur war adventure drama
Parker,professionalthief jewelrobbery jasonstatham jenniferlopez nicknolte taylorhackford action crime
Wimbledon,tennis newlove tennisplayer kirstendunst paulbettany samneill richardloncraine comedy romance
Furry Vengeance,bear animal aftercreditsstinger brendanfraser kenjeong brookeshields rogerkumble comedy
Bait,drowning supermarket sharkattack sharnivinson phoebetonkin julianmcmahon kimblerendall action horror thriller
Krull,kingdom lightsaber cultfavorite kenmarshall lysetteanthony francescaannis peteryates fantasy action adventure
Lions for Lambs,journalist terrorist waragainstterror robertredford merylstreep tomcruise robertredford action adventure drama
Flight of the Intruder,bomber vietnamwar u.s.navy dannyglover willemdafoe bradjohnson johnmilius action adventure drama
Walk Hard: The Dewey Cox Story,musicrecord rockandroll pop johnc.reilly jennafischer timmeadows jakekasdan comedy music
The Shipping News,sex adultery basedonnovel kevinspacey juliannemoore cateblanchett lassehallström drama romance
American Outlaws,sheriff horse outlaw colinfarrell scottcaan alilarter lesmayfield action western
The Young Victoria,royalfamily biography royalty emilyblunt jimbroadbent markstrong jean-marcvallée drama history romance
Whiteout,airplane basedoncomicbook corpse katebeckinsale gabrielmacht tomskerritt dominicsena action crime mystery
The Tree of Life,philosophy fathersonrelationship redhair bradpitt seanpenn jessicachastain terrencemalick drama fantasy
Knock Off,parkinggarage freighter fundraiser jean-claudevandamme lelarochon paulsorvino tsuihark action adventure thriller
Sabotage,drugcartel dea arnoldschwarzenegger samworthington mireilleenos davidayer action drama thriller
